country,disease,transmission,advice,source_url
Central African Republic,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Central African Republic,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/central-african-republic
Chad,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chad,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chad
Chile,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chile
Chile,Chagas disease (American Trypanosomiasis),"Accidentally rub feces (poop) of the triatomine bug into the bug bite, other breaks in the skin, your eyes, or mouth From pregnant woman to her baby, contaminated blood products (transfusions), or contaminated food or drink.",Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chile
Chile,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chile
Chile,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/chile
China,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
China,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/china
Christmas Island,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/christmas-island
Christmas Island,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/christmas-island
Christmas Island,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/christmas-island
Cocos Islands,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cocos-islands
Cocos Islands,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cocos-islands
Cocos Islands,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cocos-islands
Colombia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Chagas disease (American Trypanosomiasis),"Accidentally rub feces (poop) of the triatomine bug into the bug bite, other breaks in the skin, your eyes, or mouth From pregnant woman to her baby, contaminated blood products (transfusions), or contaminated food or drink.",Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,New World Screwworm Myiasis,"Fly lays eggs on open wound or mucous membranes (e.g., mouth, nasal passages)","Avoid bug bites Clean and cover wounds Sleep in a room with screened windows, or under a bed net, or inside a screened tent Avoid spending time around livestock",https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Colombia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/colombia
Comoros,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/comoros
Comoros,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/comoros
Comoros,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/comoros
Comoros,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/comoros
Congo,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,Ebola,Touching infected animals (including bats and primates) or their body fluids Touching body fluids (blood or sweat) from an infected person Touching objects contaminated with the body fluids of a person infected with Ebola or Marburg virus,Avoid sick people Avoid animals and areas where they live,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Congo,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/congo
Cook Islands,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands
Cook Islands,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands
Cook Islands,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands
Cook Islands,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands
Cook Islands,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cook-islands
Costa Rica,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Chagas disease (American Trypanosomiasis),"Accidentally rub feces (poop) of the triatomine bug into the bug bite, other breaks in the skin, your eyes, or mouth From pregnant woman to her baby, contaminated blood products (transfusions), or contaminated food or drink.",Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Costa Rica,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/costa-rica
Ivory Coast,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Ebola,Touching infected animals (including bats and primates) or their body fluids Touching body fluids (blood or sweat) from an infected person Touching objects contaminated with the body fluids of a person infected with Ebola or Marburg virus,Avoid sick people Avoid animals and areas where they live,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Monkeypox,"Scratched or bitten by an infected animal such as a rodent or primate Touching an infected animal or touching animal products, including skins and meat Being near an infected person who is coughing or sneezing Touching the body fluids or rash of a person with monkeypox",Avoid animals and animal products Avoid people who are sick,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Lassa Fever,Breathe in air or eat food contaminated with the urine or droppings of infected rats Touch the body fluids of a person infected with Lassa virus or objects contaminated with infected body fluids,Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Ivory Coast,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/ivory-coast
Croatia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia
Croatia,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia
Croatia,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia
Croatia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia
Croatia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/croatia
Cuba,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Cuba,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Cuba,New World Screwworm Myiasis,"Fly lays eggs on open wound or mucous membranes (e.g., mouth, nasal passages)","Avoid bug bites Clean and cover wounds Sleep in a room with screened windows, or under a bed net, or inside a screened tent Avoid spending time around livestock",https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Cuba,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Cuba,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Cuba,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cuba
Curacao,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao
Curacao,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao
Curacao,Zika,Mosquito bite An infected pregnant woman can spread it to her unborn baby,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao
Curacao,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao
Curacao,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/curacao
Cyprus,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cyprus
Cyprus,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cyprus
Cyprus,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cyprus
Cyprus,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/cyprus
Czechia,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/czechia
Czechia,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/czechia
Czechia,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/czechia
Democratic Republic of Congo,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Melioidosis,"Contact with contaminated fresh water, mud, or soil, especially after heavy rains Drinking contaminated water Breathing in contaminated dust or water droplets, especially during severe weather","Avoid floodwater and contact with soil or muddy water, particularly after heavy rains Bandage open wounds, cuts, or burns to protect them from coming into contact with soil or water",https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,African Sleeping Sickness (African Trypanosomiasis),Tsetse fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Crimean-Congo Hemorrhagic fever,Tick bite Touching the body fluids of a person or animal infected with CCHF,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,"Plague (Bubonic, Pneumonic, Septicemic)",Flea bite Contact with infected people (pneumonic) or animals,Avoid Bug Bites Avoid sick animals and people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Ebola,Touching infected animals (including bats and primates) or their body fluids Touching body fluids (blood or sweat) from an infected person Touching objects contaminated with the body fluids of a person infected with Ebola or Marburg virus,Avoid sick people Avoid animals and areas where they live,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Marburg Virus Disease,Touching infected animals (including bats and primates) or their body fluids Touching body fluids (blood or sweat) from an infected person Touching objects contaminated with the body fluids of a person infected with Ebola or Marburg virus,Avoid sick people Avoid animals and areas where they live,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Democratic Republic of Congo,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/democratic-republic-of-congo
Denmark,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/denmark
Denmark,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/denmark
Denmark,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/denmark
Djibouti,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,Schistosomiasis,"Wading, swimming, bathing, or washing in contaminated freshwater streams, rivers, ponds, lakes, or untreated pools.",Avoid contaminated water,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,African Tick-Bite Fever,Tick bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,Dengue,Mosquito bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,Leishmaniasis,Sand fly bite,Avoid bug bites,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,Hantavirus,"Breathing in air or accidentally eating food contaminated with the urine, droppings, or saliva of infected rodents Bite from an infected rodent Less commonly, being around someone sick with hantavirus (only occurs with Andes virus)",Avoid rodents and areas where they live Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Djibouti,Tuberculosis (TB),"Breathe in TB bacteria that is in the air from an infected and contagious person coughing, speaking, or singing.",Avoid sick people,https://wwwnc.cdc.gov/travel/destinations/traveler/none/djibouti
Dominica,Leptospirosis,"Touching urine or other body fluids from an animal infected with leptospirosis Swimming or wading in urine-contaminated fresh water, or contact with urine-contaminated mud Drinking water or eating food contaminated with animal urine",Avoid contaminated water and soil Avoid floodwater,https://wwwnc.cdc.gov/travel/destinations/traveler/none/dominica
