country,category,item
Algeria,First-aid kit,Antiseptic wound cleanser
Algeria,First-aid kit,Aloe gel For sunburns
Algeria,First-aid kit,Insect bite treatment Anti-itch gel or cream
Algeria,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Algeria,First-aid kit,Moleskin or molefoam for blisters
Algeria,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Algeria,First-aid kit,Disposable gloves
Algeria,First-aid kit,Digital thermometer
Algeria,First-aid kit,Scissors and safety pins
Algeria,First-aid kit,Cotton swabs (Q-Tips)
Algeria,First-aid kit,Tweezers
Algeria,First-aid kit,Eye drops
Algeria,First-aid kit,Oral rehydration salts
Algeria,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Algeria,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
Algeria,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Algeria,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Algeria,Documents,Family member or close contact remaining in the United States
Algeria,Documents,Health care provider(s) at home
Algeria,Documents,Lodging at your destination
Algeria,Documents,Hospitals or clinics (including emergency services) in your destination
Algeria,Documents,US embassy or consulate in the destination country or countries
American Samoa,Prescription medicines,Your prescriptions
American Samoa,Prescription medicines,Travelers' diarrhea antibiotic
American Samoa,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
American Samoa,Prescription medicines,Altitude sickness medicine
American Samoa,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
American Samoa,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
American Samoa,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
American Samoa,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
American Samoa,Medical supplies,Diabetes testing supplies
American Samoa,Medical supplies,Insulin
American Samoa,Medical supplies,Inhalers
American Samoa,Medical supplies,Epinephrine auto-injectors (EpiPens)
American Samoa,Medical supplies,Medical alert bracelet or necklace
American Samoa,Over-the-counter medicines,Antacid
American Samoa,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
American Samoa,Over-the-counter medicines,Antihistamine
American Samoa,Over-the-counter medicines,Motion sickness medicine
American Samoa,Over-the-counter medicines,Cough drops
American Samoa,Over-the-counter medicines,Cough suppression/expectorant
American Samoa,Over-the-counter medicines,Decongestant
American Samoa,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
American Samoa,Over-the-counter medicines,Mild laxative
American Samoa,Over-the-counter medicines,Mild sedative or other sleep aid
American Samoa,Over-the-counter medicines,Saline nose spray
American Samoa,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
American Samoa,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
American Samoa,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
American Samoa,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
American Samoa,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
American Samoa,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
American Samoa,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
American Samoa,Supplies to prevent illness or injury,Earplugs
American Samoa,Supplies to prevent illness or injury,Latex condoms
American Samoa,First-aid kit,1% hydrocortisone cream
American Samoa,First-aid kit,Antifungal ointments
American Samoa,First-aid kit,Antibacterial ointments
American Samoa,First-aid kit,Antiseptic wound cleanser
American Samoa,First-aid kit,Aloe gel For sunburns
American Samoa,First-aid kit,Insect bite treatment Anti-itch gel or cream
American Samoa,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
American Samoa,First-aid kit,Moleskin or molefoam for blisters
American Samoa,First-aid kit,Elastic/compression bandage wrap For sprains and strains
American Samoa,First-aid kit,Disposable gloves
American Samoa,First-aid kit,Digital thermometer
American Samoa,First-aid kit,Scissors and safety pins
American Samoa,First-aid kit,Cotton swabs (Q-Tips)
American Samoa,First-aid kit,Tweezers
American Samoa,First-aid kit,Eye drops
American Samoa,First-aid kit,Oral rehydration salts
American Samoa,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
American Samoa,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
American Samoa,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
American Samoa,Documents,Family member or close contact remaining in the United States
American Samoa,Documents,Health care provider(s) at home
American Samoa,Documents,Lodging at your destination
American Samoa,Documents,Hospitals or clinics (including emergency services) in your destination
American Samoa,Documents,US embassy or consulate in the destination country or countries
Andorra,Prescription medicines,Your prescriptions
Andorra,Prescription medicines,Travelers' diarrhea antibiotic
Andorra,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Andorra,Prescription medicines,Altitude sickness medicine
Andorra,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Andorra,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Andorra,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Andorra,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Andorra,Medical supplies,Diabetes testing supplies
Andorra,Medical supplies,Insulin
Andorra,Medical supplies,Inhalers
Andorra,Medical supplies,Epinephrine auto-injectors (EpiPens)
Andorra,Medical supplies,Medical alert bracelet or necklace
Andorra,Over-the-counter medicines,Antacid
Andorra,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Andorra,Over-the-counter medicines,Antihistamine
Andorra,Over-the-counter medicines,Motion sickness medicine
Andorra,Over-the-counter medicines,Cough drops
Andorra,Over-the-counter medicines,Cough suppression/expectorant
Andorra,Over-the-counter medicines,Decongestant
Andorra,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Andorra,Over-the-counter medicines,Mild laxative
Andorra,Over-the-counter medicines,Mild sedative or other sleep aid
Andorra,Over-the-counter medicines,Saline nose spray
Andorra,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Andorra,Supplies to prevent illness or injury,Water purification tablets May be needed if camping or visiting remote areas
Andorra,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
Andorra,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Andorra,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Andorra,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Andorra,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Andorra,Supplies to prevent illness or injury,Earplugs
Andorra,Supplies to prevent illness or injury,Latex condoms
Andorra,First-aid kit,1% hydrocortisone cream
Andorra,First-aid kit,Antifungal ointments
Andorra,First-aid kit,Antibacterial ointments
Andorra,First-aid kit,Antiseptic wound cleanser
Andorra,First-aid kit,Aloe gel For sunburns
Andorra,First-aid kit,Insect bite treatment Anti-itch gel or cream
Andorra,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Andorra,First-aid kit,Moleskin or molefoam for blisters
Andorra,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Andorra,First-aid kit,Disposable gloves
Andorra,First-aid kit,Digital thermometer
Andorra,First-aid kit,Scissors and safety pins
Andorra,First-aid kit,Cotton swabs (Q-Tips)
Andorra,First-aid kit,Tweezers
Andorra,First-aid kit,Eye drops
Andorra,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Andorra,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Andorra,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Andorra,Documents,Family member or close contact remaining in the United States
Andorra,Documents,Health care provider(s) at home
Andorra,Documents,Lodging at your destination
Andorra,Documents,Hospitals or clinics (including emergency services) in your destination
Andorra,Documents,US embassy or consulate in the destination country or countries
Angola,Prescription medicines,Your prescriptions
Angola,Prescription medicines,Travelers' diarrhea antibiotic
Angola,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Angola,Prescription medicines,Altitude sickness medicine
Angola,Prescription medicines,Medicine to prevent malaria
Angola,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Angola,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Angola,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Angola,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Angola,Medical supplies,Diabetes testing supplies
Angola,Medical supplies,Insulin
Angola,Medical supplies,Inhalers
Angola,Medical supplies,Epinephrine auto-injectors (EpiPens)
Angola,Medical supplies,Medical alert bracelet or necklace
Angola,Over-the-counter medicines,Antacid
Angola,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Angola,Over-the-counter medicines,Antihistamine
Angola,Over-the-counter medicines,Motion sickness medicine
Angola,Over-the-counter medicines,Cough drops
Angola,Over-the-counter medicines,Cough suppression/expectorant
Angola,Over-the-counter medicines,Decongestant
Angola,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Angola,Over-the-counter medicines,Mild laxative
Angola,Over-the-counter medicines,Mild sedative or other sleep aid
Angola,Over-the-counter medicines,Saline nose spray
Angola,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Angola,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
Angola,Supplies to prevent illness or injury,Water purification tablets May be needed if camping or visiting remote areas
Angola,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
