"country","href","full_url"
"Gibraltar","/travel/destinations/traveler/none/gibraltar","https://wwwnc.cdc.gov/travel/destinations/traveler/none/gibraltar"
"Greece","/travel/destinations/traveler/none/greece","https://wwwnc.cdc.gov/travel/destinations/traveler/none/greece"
"Greenland","/travel/destinations/traveler/none/greenland","https://wwwnc.cdc.gov/travel/destinations/traveler/none/greenland"
"Grenada","/travel/destinations/traveler/none/grenada","https://wwwnc.cdc.gov/travel/destinations/traveler/none/grenada"
"Saint Vincent and the Grenadines","/travel/destinations/traveler/none/saint-vincent-and-the-grenadines","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-vincent-and-the-grenadines"
"Guadeloupe","/travel/destinations/traveler/none/guadeloupe","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guadeloupe"
"Guam","/travel/destinations/traveler/none/guam","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guam"
"Guatemala","/travel/destinations/traveler/none/guatemala","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guatemala"
"Guinea","/travel/destinations/traveler/none/guinea","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guinea"
"Guinea Bissau","/travel/destinations/traveler/none/guinea-bissau","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guinea-bissau"
"Guyana","/travel/destinations/traveler/none/guyana","https://wwwnc.cdc.gov/travel/destinations/traveler/none/guyana"
"Haiti","/travel/destinations/traveler/none/haiti","https://wwwnc.cdc.gov/travel/destinations/traveler/none/haiti"
"Italy","/travel/destinations/traveler/none/italy","https://wwwnc.cdc.gov/travel/destinations/traveler/none/italy"
"Honduras","/travel/destinations/traveler/none/honduras","https://wwwnc.cdc.gov/travel/destinations/traveler/none/honduras"
"Hong Kong Sar","/travel/destinations/traveler/none/hong-kong-sar","https://wwwnc.cdc.gov/travel/destinations/traveler/none/hong-kong-sar"
"Hungary","/travel/destinations/traveler/none/hungary","https://wwwnc.cdc.gov/travel/destinations/traveler/none/hungary"
"Iceland","/travel/destinations/traveler/none/iceland","https://wwwnc.cdc.gov/travel/destinations/traveler/none/iceland"
"India","/travel/destinations/traveler/none/india","https://wwwnc.cdc.gov/travel/destinations/traveler/none/india"
"Indonesia","/travel/destinations/traveler/none/indonesia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/indonesia"
"Iran","/travel/destinations/traveler/none/iran","https://wwwnc.cdc.gov/travel/destinations/traveler/none/iran"
"Iraq","/travel/destinations/traveler/none/iraq","https://wwwnc.cdc.gov/travel/destinations/traveler/none/iraq"
"Ireland","/travel/destinations/traveler/none/ireland","https://wwwnc.cdc.gov/travel/destinations/traveler/none/ireland"
"Israel","/travel/destinations/traveler/none/israel","https://wwwnc.cdc.gov/travel/destinations/traveler/none/israel"
"Jamaica","/travel/destinations/traveler/none/jamaica","https://wwwnc.cdc.gov/travel/destinations/traveler/none/jamaica"
"Japan","/travel/destinations/traveler/none/japan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/japan"
"Jordan","/travel/destinations/traveler/none/jordan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/jordan"
"Kazakhstan","/travel/destinations/traveler/none/kazakhstan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kazakhstan"
"Kenya","/travel/destinations/traveler/none/kenya","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kenya"
"Kiribati","/travel/destinations/traveler/none/kiribati","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kiribati"
"Kosovo","/travel/destinations/traveler/none/kosovo","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kosovo"
"Kuwait","/travel/destinations/traveler/none/kuwait","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kuwait"
"Kyrgyzstan","/travel/destinations/traveler/none/kyrgyzstan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/kyrgyzstan"
"Laos","/travel/destinations/traveler/none/laos","https://wwwnc.cdc.gov/travel/destinations/traveler/none/laos"
"Latvia","/travel/destinations/traveler/none/latvia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/latvia"
"Lebanon","/travel/destinations/traveler/none/lebanon","https://wwwnc.cdc.gov/travel/destinations/traveler/none/lebanon"
"Lesotho","/travel/destinations/traveler/none/lesotho","https://wwwnc.cdc.gov/travel/destinations/traveler/none/lesotho"
"Liberia","/travel/destinations/traveler/none/liberia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/liberia"
"Libya","/travel/destinations/traveler/none/libya","https://wwwnc.cdc.gov/travel/destinations/traveler/none/libya"
"Liechtenstein","/travel/destinations/traveler/none/liechtenstein","https://wwwnc.cdc.gov/travel/destinations/traveler/none/liechtenstein"
"Lithuania","/travel/destinations/traveler/none/lithuania","https://wwwnc.cdc.gov/travel/destinations/traveler/none/lithuania"
"Luxembourg","/travel/destinations/traveler/none/luxembourg","https://wwwnc.cdc.gov/travel/destinations/traveler/none/luxembourg"
"Macau Sar","/travel/destinations/traveler/none/macau-sar","https://wwwnc.cdc.gov/travel/destinations/traveler/none/macau-sar"
"Madagascar","/travel/destinations/traveler/none/madagascar","https://wwwnc.cdc.gov/travel/destinations/traveler/none/madagascar"
"Madeira Islands","/travel/destinations/traveler/none/madeira-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/madeira-islands"
"Malawi","/travel/destinations/traveler/none/malawi","https://wwwnc.cdc.gov/travel/destinations/traveler/none/malawi"
"Malaysia","/travel/destinations/traveler/none/malaysia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/malaysia"
"Maldives","/travel/destinations/traveler/none/maldives","https://wwwnc.cdc.gov/travel/destinations/traveler/none/maldives"
"Mali","/travel/destinations/traveler/none/mali","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mali"
"Malta","/travel/destinations/traveler/none/malta","https://wwwnc.cdc.gov/travel/destinations/traveler/none/malta"
"Marshall Islands","/travel/destinations/traveler/none/marshall-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/marshall-islands"
"Martinique","/travel/destinations/traveler/none/martinique","https://wwwnc.cdc.gov/travel/destinations/traveler/none/martinique"
"Mauritania","/travel/destinations/traveler/none/mauritania","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mauritania"
"Mauritius","/travel/destinations/traveler/none/mauritius","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mauritius"
"Mayotte","/travel/destinations/traveler/none/mayotte","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mayotte"
"Mexico","/travel/destinations/traveler/none/mexico","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mexico"
"Micronesia","/travel/destinations/traveler/none/micronesia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/micronesia"
"Moldova","/travel/destinations/traveler/none/moldova","https://wwwnc.cdc.gov/travel/destinations/traveler/none/moldova"
"Monaco","/travel/destinations/traveler/none/monaco","https://wwwnc.cdc.gov/travel/destinations/traveler/none/monaco"
"Mongolia","/travel/destinations/traveler/none/mongolia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mongolia"
"Montenegro","/travel/destinations/traveler/none/montenegro","https://wwwnc.cdc.gov/travel/destinations/traveler/none/montenegro"
"Montserrat","/travel/destinations/traveler/none/montserrat","https://wwwnc.cdc.gov/travel/destinations/traveler/none/montserrat"
"Morocco","/travel/destinations/traveler/none/morocco","https://wwwnc.cdc.gov/travel/destinations/traveler/none/morocco"
"Mozambique","/travel/destinations/traveler/none/mozambique","https://wwwnc.cdc.gov/travel/destinations/traveler/none/mozambique"
"Namibia","/travel/destinations/traveler/none/namibia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/namibia"
"Nauru","/travel/destinations/traveler/none/nauru","https://wwwnc.cdc.gov/travel/destinations/traveler/none/nauru"
"Nepal","/travel/destinations/traveler/none/nepal","https://wwwnc.cdc.gov/travel/destinations/traveler/none/nepal"
"Netherlands","/travel/destinations/traveler/none/netherlands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/netherlands"
"New Caledonia","/travel/destinations/traveler/none/new-caledonia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/new-caledonia"
"New Zealand","/travel/destinations/traveler/none/new-zealand","https://wwwnc.cdc.gov/travel/destinations/traveler/none/new-zealand"
"Nicaragua","/travel/destinations/traveler/none/nicaragua","https://wwwnc.cdc.gov/travel/destinations/traveler/none/nicaragua"
"Niger","/travel/destinations/traveler/none/niger","https://wwwnc.cdc.gov/travel/destinations/traveler/none/niger"
"Nigeria","/travel/destinations/traveler/none/nigeria","https://wwwnc.cdc.gov/travel/destinations/traveler/none/nigeria"
"Niue","/travel/destinations/traveler/none/niue","https://wwwnc.cdc.gov/travel/destinations/traveler/none/niue"
"Norfolk Island","/travel/destinations/traveler/none/norfolk-island","https://wwwnc.cdc.gov/travel/destinations/traveler/none/norfolk-island"
"North Korea","/travel/destinations/traveler/none/north-korea","https://wwwnc.cdc.gov/travel/destinations/traveler/none/north-korea"
"North Macedonia","/travel/destinations/traveler/none/north-macedonia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/north-macedonia"
"Northern Mariana Islands","/travel/destinations/traveler/none/northern-mariana-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/northern-mariana-islands"
"Norway","/travel/destinations/traveler/none/norway","https://wwwnc.cdc.gov/travel/destinations/traveler/none/norway"
"Oman","/travel/destinations/traveler/none/oman","https://wwwnc.cdc.gov/travel/destinations/traveler/none/oman"
"Pakistan","/travel/destinations/traveler/none/pakistan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/pakistan"
"Palau","/travel/destinations/traveler/none/palau","https://wwwnc.cdc.gov/travel/destinations/traveler/none/palau"
"Panama","/travel/destinations/traveler/none/panama","https://wwwnc.cdc.gov/travel/destinations/traveler/none/panama"
"Papua New Guinea","/travel/destinations/traveler/none/papua-new-guinea","https://wwwnc.cdc.gov/travel/destinations/traveler/none/papua-new-guinea"
"Paraguay","/travel/destinations/traveler/none/paraguay","https://wwwnc.cdc.gov/travel/destinations/traveler/none/paraguay"
"Peru","/travel/destinations/traveler/none/peru","https://wwwnc.cdc.gov/travel/destinations/traveler/none/peru"
"Philippines","/travel/destinations/traveler/none/philippines","https://wwwnc.cdc.gov/travel/destinations/traveler/none/philippines"
"Pitcairn Islands","/travel/destinations/traveler/none/pitcairn-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/pitcairn-islands"
"Poland","/travel/destinations/traveler/none/poland","https://wwwnc.cdc.gov/travel/destinations/traveler/none/poland"
"Portugal","/travel/destinations/traveler/none/portugal","https://wwwnc.cdc.gov/travel/destinations/traveler/none/portugal"
"Puerto Rico","/travel/destinations/traveler/none/puerto-rico","https://wwwnc.cdc.gov/travel/destinations/traveler/none/puerto-rico"
"Qatar","/travel/destinations/traveler/none/qatar","https://wwwnc.cdc.gov/travel/destinations/traveler/none/qatar"
